Date ;CAC Index                                                       ;SPX Index;UKX Index;DAX Index                                                       ;NKY Index                                                       ;INDU Index                                                       ;EUR curncy;EURJPY curncy;EURGBP curncy;GSEACII Index;GSUSCII Index;GSJPCII Index;GOLDS Comdty;CL1 COMB Comdty    ;EUR003M Index;US0003M Index;BP0003M Index;JY0003 Index
29/01/2018;5521,59;2306,44199;8724,4119;13324,48;175,07605;21370,41745;1,2383;134,91;0,87974;#N/A;#N/A;#N/A;1083,34146;52,99062;-0,328;1,77225;0,52794;-0,04383
26/01/2018;5529,15;2309,56678;8745,82718;13340,17;175,16334;21397,78997;1,2427;134,96;0,87805;#N/A;#N/A;#N/A;1085,05503;53,17148;-0,328;1,7669;0,52794;-0,03867
25/01/2018;5481,21;2272,85463;8691,27544;13298,36;174,36016;21127,75301;1,2396;135,64;0,87639;#N/A;#N/A;#N/A;1079,09863;52,44156;-0,327;1,76031;0,52819;-0,037
24/01/2018;5495,16;2289,81604;8755,52706;13414,74;176,9027;21184,73139;1,2408;135,52;0,87134;#N/A;#N/A;#N/A;1096,24756;52,94545;-0,328;1,75246;0,52756;-0,04033
23/01/2018;5535,26;2311,99502;8801,56781;13559,6;177,91228;21344,30826;1,2299;135,66;0,8785;#N/A;#N/A;#N/A;1092,16209;52,5;-0,328;1,7452;0,52538;-0,03533
22/01/2018;5541,99;2313,76182;8795,50071;13463,69;175,03311;21410,15976;1,2262;136,01;0,87666;#N/A;#N/A;#N/A;1089,20287;51,85397;-0,328;1,7413;0,52294;-0,03783
19/01/2018;5526,51;2297,31059;8758,99207;13434,45;175,95299;21312,614;1,2222;135,45;0,88175;#N/A;#N/A;#N/A;1088,73946;51,8025;-0,328;1,74447;0,5235;-0,029
18/01/2018;5494,83;2288,02848;8738,75389;13281,43;175,126;21275,50131;1,2238;135,98;0,88074;#N/A;#N/A;#N/A;1085,22364;52,29373;-0,328;1,7447;0,52194;-0,0295
17/01/2018;5493,99;2287,43067;8733,04015;13183,96;175,87053;21315,41821;1,2186;135,63;0,88112;#N/A;#N/A;#N/A;1083,21092;52,21188;-0,328;1,73918;0,52113;-0,03283
16/01/2018;5513,82;2267,57589;8723,83783;13246,33;176,66468;21065,71331;1,226;135,42;0,88887;#N/A;#N/A;#N/A;1093,12729;52,04998;-0,329;1,73408;0,52156;-0,0345
15/01/2018;5509,69;#N/A;8743,52745;13200,51;175,0064;#N/A;1,2264;135,56;0,88935;#N/A;#N/A;#N/A;1092,05449;#N/A;-0,329;1,73133;0,52125;-0,031
12/01/2018;5517,06;2296,03625;8776,04962;13245,03;175,2268;21263,44413;1,2202;135,5;0,88886;#N/A;#N/A;#N/A;1102,55455;52,98723;-0,329;1,72152;0,51988;-0,031
11/01/2018;5488,55;2299,01982;8734,75839;13202,9;176,88657;21244,99956;1,2032;133,87;0,88876;#N/A;#N/A;#N/A;1098,49642;52,99884;-0,329;1,72019;0,51944;-0,0335
10/01/2018;5504,68;2297,85115;8757,24135;13281,34;178,39984;21211,64788;1,1948;133,14;0,8846;#N/A;#N/A;#N/A;1101,10372;53,15217;-0,329;1,70911;0,52269;-0,02617
09/01/2018;5523,94;2307,93561;8772,5449;13385,59;177,71098;21295,02624;1,1937;134,47;0,8816;#N/A;#N/A;#N/A;1101,23314;52,81436;-0,329;1,70457;0,52131;-0,01767
08/01/2018;5487,42;2293,9639;8712,38737;13367,78;#N/A;21107,86442;1,1967;135,35;0,88206;#N/A;#N/A;#N/A;1102,41273;51,53615;-0,329;1,70802;0,52081;-0,02267
05/01/2018;5470,75;2277,03985;8696,8808;13319,64;173,9573;20997,65015;1,2029;136,02;0,88644;#N/A;#N/A;#N/A;1095,1689;51,00025;-0,329;1,70393;0,52125;-0,027
04/01/2018;5413,69;2255,89233;8633,40695;13167,89;172,62517;20766,15392;1,2068;136,07;0,89058;#N/A;#N/A;#N/A;1095,44513;51,35404;-0,329;1,70381;0,5175;-0,032
03/01/2018;5331,28;2255,80781;8627,20812;12978,21;#N/A;20722,27462;1,2015;135,17;0,88895;#N/A;#N/A;#N/A;1091,87657;51,24304;-0,329;1,69593;0,51844;-0,02633
02/01/2018;5288,6;2238,11545;8625,30442;12871,39;#N/A;20609,38959;1,2059;135,41;0,88726;#N/A;#N/A;#N/A;1093,81486;50,12038;-0,329;1,69693;0,51906;-0,02483
01/01/2018;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1,2012;135,24;0,88854;1,01675;1,58347;1,42512;1085,54467;#N/A;#N/A;#N/A;#N/A;#N/A
29/12/2017;5312,56;2223,93122;8648,26167;12917,64;168,20098;20561,65422;1,2005;135,28;0,88809;#N/A;#N/A;#N/A;1083,88791;50,25786;-0,329;1,69428;0,52106;-0,02417
28/12/2017;5339,42;2248,42302;8576,29789;12979,94;168,89338;20779,31044;1,1943;134,82;0,88855;#N/A;#N/A;#N/A;1083,36396;50,06275;-0,329;1,69465;0,52125;-0,03167
27/12/2017;5368,84;2254,49207;8580,7104;13070,02;169,91472;20820,48977;1,1888;134,76;0,88739;#N/A;#N/A;#N/A;1081,85566;50,12186;-0,329;1,69339;0,5175;-0,034
26/12/2017;#N/A;2258,02376;#N/A;#N/A;170,37327;20845,93626;1,1858;134,28;0,88662;#N/A;#N/A;#N/A;1080,80197;50,51807;#N/A;#N/A;#N/A;#N/A
25/12/2017;#N/A;#N/A;#N/A;#N/A;170,65023;#N/A;1,187;134,41;0,88787;#N/A;#N/A;#N/A;1073,43855;#N/A;#N/A;#N/A;#N/A;#N/A
22/12/2017;5364,72;2263,84889;8572,08962;13072,79;170,58649;20884,21543;1,1862;134,36;0,88793;#N/A;#N/A;#N/A;1075,88796;49,32928;-0,329;1,68577;0,51531;-0,02267
21/12/2017;5385,97;2262,02399;8566,97138;13109,74;169,81333;20881,60521;1,1874;134,56;0,88702;#N/A;#N/A;#N/A;1067,15959;49,17425;-0,329;1,67464;0,51688;-0,011
20/12/2017;5352,77;2255,8306;8487,65261;13069,17;170,08465;20818,93609;1,1871;134,62;0,88748;#N/A;#N/A;#N/A;1065,56786;48,90966;-0,329;1,65793;0,51563;-0,021
19/12/2017;5382,91;2266,86108;8527,51926;13215,79;171,00531;20927,17051;1,184;133,66;0,88442;#N/A;#N/A;#N/A;1066,65821;48,57553;-0,329;1,64203;0,51344;-0,01717
18/12/2017;5420,58;2281,73021;8561,76181;13312,3;172,71042;21028,15879;1,1782;132,6;0,88033;#N/A;#N/A;#N/A;1070,73793;48,48176;-0,329;1,62548;0,51281;-0,0205
15/12/2017;5349,3;2274,38169;8481,24782;13103,56;170,11055;20953,45536;1,1749;132,3;0,88208;#N/A;#N/A;#N/A;1067,10578;48,70378;-0,329;1,61331;0,51619;-0,02367
14/12/2017;5357,14;2249,754;8486,23187;13068,08;171,34356;20791,19457;1,1778;132,37;0,87696;#N/A;#N/A;#N/A;1062,88179;48,38819;-0,331;1,60042;0,51838;-0,01767
13/12/2017;5399,45;2263,75083;8509,17269;13125,64;171,01711;20900,64583;1,1826;133,09;0,88122;#N/A;#N/A;#N/A;1067,41475;48,11698;-0,329;1,58849;0,51963;-0,02267
12/12/2017;5427,19;2272,35594;8518,24985;13183,53;171,64241;20901,39951;1,1742;133,32;0,88162;#N/A;#N/A;#N/A;1061,58306;48,73763;-0,327;1,57352;0,52244;-0,01767
11/12/2017;5386,83;2255,75813;8438,89172;13123,65;171,48087;20680,14696;1,1769;133,65;0,88228;#N/A;#N/A;#N/A;1053,20976;49,17741;-0,327;1,56347;0,52275;-0,01983
08/12/2017;5399,09;2255,44403;8426,07023;13153,7;170,92827;20695,10051;1,1773;133,6;0,87916;#N/A;#N/A;#N/A;1062,01089;48,79211;-0,326;1,54878;0,52306;-0,02483
07/12/2017;5383,86;2235,29709;8332,26331;13045,15;169,11391;20523,42161;1,1773;133,13;0,87374;#N/A;#N/A;#N/A;1057,28578;48,05459;-0,325;1,53606;0,52219;-0,0175
06/12/2017;5374,35;2229,51753;8334,99486;12998,85;167,54505;20470,54198;1,1796;132,45;0,88076;#N/A;#N/A;#N/A;1071,26683;47,45188;-0,326;1,52263;0,52006;-0,015
05/12/2017;5375,53;2227,31668;8339,79481;13048,54;169,99437;20481,65393;1,1826;133,16;0,87969;#N/A;#N/A;#N/A;1072,28523;48,80569;-0,326;1,51532;0,522;-0,01267
04/12/2017;5389,29;2228,50383;8339,06291;13058,55;169,90312;20508,31711;1,1866;133,38;0,88027;#N/A;#N/A;#N/A;1077,4316;48,52246;-0,326;1,50849;0,522;-0,02683
01/12/2017;5316,89;2219,23398;8284,0268;12861,49;171,10965;20352,41882;1,1896;133,46;0,8829;0,9155;1,46145;1,25147;1075,50815;49,0173;-0,326;1,49463;0,51975;-0,0285
30/11/2017;5372,79;2226,54115;8323,60474;13023,98;169,86099;20412,37037;1,1904;133,96;0,88021;#N/A;#N/A;#N/A;1072,189;48,2718;-0,329;1,48738;0,52138;-0,016
29/11/2017;5398,05;2215,90589;8378,03713;13061,87;170,36953;20201,40046;1,1847;132,6;0,88354;#N/A;#N/A;#N/A;1083,35584;48,35035;-0,329;1,48063;0,52138;-0,01
28/11/2017;5390,48;2213,17611;8378,30356;13059,53;170,28097;20081,47509;1,184;132;0,88766;#N/A;#N/A;#N/A;1090,1137;48,85426;-0,329;1,47882;0,523;-0,021
27/11/2017;5360,09;2185,69982;8269,19861;13000,2;170,20276;19812,4511;1,1898;132,18;0,89341;#N/A;#N/A;#N/A;1087,67859;48,82373;-0,329;1,47725;0,523;-0,0285
24/11/2017;5390,46;2181,77391;8281,801;13059,84;169,45245;19750,15949;1,1933;133,08;0,89473;#N/A;#N/A;#N/A;1080,47874;49,42153;-0,329;1,46763;0,523;-0,02417
23/11/2017;5379,54;#N/A;8328,66751;13008,55;#N/A;#N/A;1,1851;131,8;0,89051;#N/A;#N/A;#N/A;1089,83034;#N/A;-0,329;1,46206;0,52263;-0,03436
22/11/2017;5352,76;2201,84831;8358,74159;13015,04;171,13736;19945,89206;1,1822;131,51;0,88713;#N/A;#N/A;#N/A;1095,3794;49,19034;-0,329;1,46233;0,52263;-0,02721
21/11/2017;5366,15;2213,25899;8355,50781;13167,54;169,78767;20089,27027;1,1738;131,99;0,88671;#N/A;#N/A;#N/A;1090,46243;48,39479;-0,329;1,454;0,52263;-0,03543
20/11/2017;5340,45;2198,12709;8324,85853;13058,66;168,33378;19945,79899;1,1733;132,14;0,88648;#N/A;#N/A;#N/A;1086,96687;47,74836;-0,329;1,44594;0,52575;-0,03057
17/11/2017;5319,17;2185,09583;8259,33258;12993,73;169,40835;19791,76431;1,179;132,17;0,89227;#N/A;#N/A;#N/A;1096,59376;47,91561;-0,329;1,44067;0,5255;-0,02843
